date,close,volume,open,high,low
2009-07-15,20.9829,120885416,20.72,21,20.6171
2010-02-05,27.9228,212342054,27.5178,28,27.2643
2010-02-01,27.8186,186856796,27.4814,28,27.3286
2010-08-23,35.1143,103289091,35.97,36,35.0357
2010-10-28,43.6057,137111911,43.9928,44,42.9857
2011-04-14,47.4886,75357053,47.8286,48,47.4371
2011-05-11,49.6043,83509605,49.86,50,49.32
2011-05-06,49.5228,69991117,49.9557,50,49.4586
2011-09-02,53.4357,109691503,53.5343,54,53.1186
2013-06-21,59.0714,120212576,59.7843,60,58.3
2014-06-27,91.98,61758200,90.82,92,90.77
2012-04-10,89.7771,221909237,91.4185,92,89.4285
2016-07-19,99.87,23766360,99.56,100,99.34
2016-09-02,107.73,26393770,107.7,108,106.82
2016-04-19,106.91,32340620,107.88,108,106.23
2015-10-16,111.04,38794930,111.78,112,110.53
2015-01-30,117.16,83646800,118.4,120,116.85
2017-10-16,159.88,24093300,157.9,160,157.65
2017-08-22,159.78,21564890,158.23,160,158.02
2017-08-10,155.32,39636190,159.9,160,154.63
2019-03-05,175.53,19238480,175.94,176,174.54
2018-06-08,191.7,26580710,191.17,192,189.77
2018-05-04,183.83,56137230,178.25,184.25,178.17
2014-03-21,76.1243,93431688,75.99,76.25,75.19
2015-12-17,108.98,44654830,112.02,112.25,108.98
2015-08-07,115.52,38610120,114.58,116.25,114.5
2015-02-06,118.93,43633660,120.02,120.25,118.45
2017-06-16,142.27,50264540,143.78,144.5,142.2
2017-03-30,143.93,21189000,144.19,144.5,143.5
2017-09-18,158.67,28157630,160.11,160.5,157.995
2017-11-02,168.11,39668100,167.64,168.5,165.28
2015-03-05,126.41,56391280,128.58,128.75,125.76
2017-02-21,136.7,24487200,136.23,136.75,135.98
2017-07-07,144.18,18527000,142.9,144.75,142.9
2010-06-16,38.1786,195557169,37.3,38.25,37.2329
2013-01-14,71.6785,183021145,71.8114,72.5,71.2157
2016-07-07,95.94,24460850,95.7,96.5,95.62
2016-02-23,94.69,31851180,96.4,96.5,94.55
2016-12-16,115.97,44284660,116.47,116.5,115.645
2015-08-06,115.13,52828890,115.97,116.5,114.115
2017-01-18,119.99,23687350,120,120.5,119.71
2018-02-08,155.15,54145930,160.29,161,155.03
2019-01-31,166.44,40613260,166.11,169,164.56
2019-04-11,198.95,20543190,200.85,201,198.4431
2018-09-12,221.07,49118510,224.94,225,219.84
2018-08-06,209.07,25396100,208,209.25,207.07
2014-06-16,92.2,35371460,91.51,92.75,91.45
2014-09-26,100.75,62276770,98.53,100.75,98.4
2016-08-24,108.03,23606240,108.565,108.75,107.68
2015-10-12,111.6,30386830,112.73,112.75,111.44
2016-10-10,116.05,36087910,115.02,116.75,114.72
2015-02-20,129.495,48878410,128.62,129.5,128.05
2018-05-03,176.89,33944110,175.88,177.5,174.4411
2018-08-07,207.11,25525650,209.32,209.5,206.76
2019-03-04,175.85,27413060,175.69,177.75,173.97
2018-05-02,176.57,66454720,175.225,177.75,173.8
2011-12-08,55.8086,93960468,55.9214,56.5,55.7471
2013-07-09,60.3357,88135556,59.0857,60.5,58.6257
2016-07-21,99.43,32690080,99.83,101,99.13
2015-12-24,108.03,13596680,109,109,107.95
2017-08-28,161.47,25649890,160.14,162,159.93
2018-03-06,176.67,23273160,177.91,178.25,176.13
2015-01-09,112.01,53645730,112.67,113.25,110.21
2017-02-06,130.29,26784530,129.13,130.5,128.9
2014-04-03,76.97,40472773,77.3414,77.5,76.8057
2014-01-13,76.5328,94612448,75.7014,77.5,75.6971
2014-08-26,100.889,33079170,101.42,101.5,100.86
2016-12-20,116.95,21337310,116.74,117.5,116.68
2015-07-22,125.22,115288400,121.99,125.5,121.99
2019-02-12,170.89,22224400,170.1,171,169.7
2017-12-08,169.37,23285760,170.49,171,168.82
2018-01-17,179.1,34260230,176.15,179.25,175.07
2012-12-27,73.58,113575314,73.3628,73.75,72.0943
2016-06-16,97.55,31251870,96.45,97.75,96.07
2014-11-11,109.7,27330410,108.7,109.75,108.4
2015-01-23,112.98,46420020,112.3,113.75,111.53
2017-06-14,145.16,31454590,147.5,147.5,143.84
2018-10-11,214.45,52902320,214.52,219.5,212.32
2018-03-29,167.78,38116290,167.805,171.75,166.9
2009-09-25,26.0528,111258383,26.0014,26.5,25.92
2010-10-15,44.9628,229189449,43.92,45,43.5586
2011-03-16,47.1443,287646046,48.8571,49,46.6086
2013-05-15,61.2643,185168956,62.7371,63,60.3371
2013-11-27,77.9943,90644497,76.6157,78,76.2
2012-06-28,81.2928,70572061,81.6671,82,80.8014
2012-05-29,81.7528,94973228,81.5571,82,80.7585
2012-08-13,90,69562052,89.0557,90,89.0357
2016-08-04,105.87,26781730,105.58,106,105.28
2016-04-01,109.99,25820460,108.78,110,108.2
2018-01-26,171.51,39075250,172,172,170.06
2018-03-09,179.98,32130360,177.96,180,177.39
2019-05-21,186.6,28364850,185.22,188,184.7
2018-05-30,187.5,18503410,187.72,188,186.78
2017-09-05,162.08,29491910,163.75,164.25,160.56
2016-03-24,105.67,25568350,105.47,106.25,104.89
2016-11-04,108.84,30790930,108.53,110.25,108.11
2018-05-23,188.36,19966590,186.35,188.5,185.76
2019-04-03,195.35,23243160,193.25,196.5,193.15
2018-02-13,164.34,32483310,161.95,164.75,161.65
2018-05-29,187.9,22409110,187.6,188.75,186.87
2016-02-12,93.99,40323020,94.19,94.5,93.01
2016-08-30,106,24817940,105.8,106.5,105.5
2016-03-18,105.92,43607120,106.34,106.5,105.19
2016-04-12,110.44,27150570,109.34,110.5,108.66
2015-02-23,133,73089250,130.02,133,129.66
2017-03-17,139.99,43700570,141,141,139.89
2019-02-22,172.97,18890250,171.58,173,171.38
2019-04-26,204.3,18612770,204.9,205,202.12
2015-05-06,125.01,72037370,126.56,126.75,123.36
2017-03-20,141.46,21258100,140.4,141.5,140.23
2017-10-20,156.25,23907540,156.61,157.75,155.96
2009-09-10,24.6514,122612107,24.58,24.75,24.4014
2011-01-04,47.3271,77212123,47.4914,47.5,46.8786
2014-02-26,73.9071,69024270,74.8014,75,73.6571
2014-07-21,93.939,38792960,94.99,95,93.72
2014-10-17,97.67,67723910,97.5,99,96.81
2016-12-12,113.3,26176690,113.29,115,112.49
2017-04-19,140.68,17302160,141.88,142,140.45
2017-10-10,155.9,15603520,156.055,158,155.1
2018-04-10,173.25,28567110,173,174,171.53
2018-10-02,229.28,24435010,227.25,230,226.63
2015-12-04,119.03,57717870,115.29,119.25,115.11
2014-12-01,115.07,83657780,118.81,119.25,111.27
2017-11-13,173.97,16956290,173.5,174.5,173.4
2012-02-27,75.1085,136457481,74.4728,75.5,73.7543
2014-01-23,79.4543,100803600,78.5628,79.5,77.8295
2015-10-22,115.5,41430660,114.33,115.5,114.1
2015-09-24,115,50061580,113.25,115.5,112.37
2015-07-29,122.99,36912040,123.15,123.5,122.27
2019-02-27,174.87,27817640,173.21,175,172.73
2018-04-12,174.14,22858840,173.41,175,173.04
2017-11-22,174.96,25558680,173.36,175,173.05
2017-11-07,174.81,24332120,173.91,175.25,173.6
2018-10-23,222.73,38681170,215.83,223.25,214.7
2014-05-09,83.6489,72767192,83.5057,83.75,82.9043
2016-03-04,103.01,46026600,102.37,103.75,101.37
2015-10-19,111.73,29723750,110.8,111.75,110.11
2014-12-02,114.63,59205320,113.5,115.75,112.75
2015-11-19,118.78,43233950,117.64,119.75,116.76
2014-11-25,117.6,68719930,119.07,119.75,117.45
2017-07-06,142.73,24110330,143.02,143.5,142.41
2017-08-18,157.5,27391950,157.86,159.5,156.72
2017-11-24,174.97,14026670,175.1,175.5,174.6459
2018-03-13,179.97,31464170,182.59,183.5,179.24
2017-08-02,157.14,69726440,159.28,159.75,156.16
2019-05-15,190.92,26544720,186.27,191.75,186.02
2019-04-23,207.48,23286380,204.43,207.75,203.9
2018-09-26,220.42,23430370,221,223.75,219.76
2012-09-05,95.7471,83949835,96.51,96.6214,95.6571
2011-07-22,56.1857,128609149,55.4743,56.4357,55.3928
2010-04-13,34.6328,76184103,34.5514,34.6857,34.4443
2013-07-10,60.1043,70064141,59.9428,60.6857,59.75
2010-05-18,36.0514,194856888,36.7114,36.9357,35.7514
2013-08-02,66.0771,68411287,65.43,66.1214,65.2371
2011-06-15,46.6786,98960500,47.1071,47.1857,46.4114
2013-09-18,66.3828,113636704,66.1686,66.6214,65.8086
2014-05-22,86.7528,50142667,86.6571,87.1214,86.3
2013-05-20,63.2757,112529584,61.7014,63.6857,61.4428
2010-06-03,37.5886,162341809,37.8828,37.9357,37.2014
2012-01-13,59.9728,56446393,59.9571,60.0643,59.8086
2011-03-18,47.2386,188150886,48.1614,48.3143,47.1428
2011-04-29,50.0186,208434163,49.54,50.5643,49.5237
2017-11-15,169.08,28998220,169.97,170.3197,168.38
2013-10-07,69.6786,77889233,69.5086,70.3786,69.3357
2011-01-18,48.6643,462442329,47.0743,49.2518,46.5714
2010-11-19,43.8186,96113949,43.9957,44.0571,43.6057
2017-01-05,116.61,22115100,115.92,116.8642,115.81
2010-05-28,36.6971,203645811,37.0554,37.0571,36.1928
2010-11-24,44.9707,103401091,44.5714,45.0571,44.5357
2011-03-08,50.8228,88957077,50.7014,51.0571,50.3214
2013-07-25,62.6428,57358143,62.9571,63.0571,62.2586
2011-02-24,48.9828,124804997,49.1457,49.3071,48.3386
2010-07-08,36.87,184252935,37.4971,37.5571,36.4128
2012-12-19,75.1871,112061074,75.9243,76.2428,75.0714
2013-09-10,70.6628,185372026,72.3143,72.4928,69.9286
2011-03-02,50.3028,150412615,49.9943,50.6214,49.7714
2012-04-13,86.4614,214640084,89.1585,89.2428,86.2157
2013-01-29,65.4671,142486933,65.5,65.7428,64.5886
2010-06-15,37.0986,145862054,36.52,37.1214,36.5
2011-01-26,49.1214,126542748,48.9943,49.3714,48.7857
2013-10-22,74.2668,133200030,75.2007,75.4928,72.5757
2012-12-20,74.5329,120153986,75.7143,75.7428,74.1257
2009-08-31,24.03,77698483,24.0228,24.1214,23.7857
2013-06-17,61.7143,64784564,61.6343,62.2428,61.4802
2009-06-12,19.5671,140437822,19.83,19.8714,19.4343
2009-09-03,23.7929,73447592,23.7771,23.8714,23.5714
2009-10-09,27.21,73239202,26.9957,27.2428,26.9457
2010-01-25,29.0107,256160737,28.93,29.2428,28.5986
2011-05-24,47.4557,80444934,47.9286,47.9856,47.3343
2018-05-18,186.31,18083080,187.19,187.8102,186.13
2014-04-17,74.9914,70978621,74.2857,75.3943,74.1714
2017-09-27,154.23,25402270,153.8,154.7189,153.54
2012-09-20,99.8143,83949835,99.88,100.0085,99.0885
2012-10-08,91.1671,159189568,92.4114,92.5085,90.8728
2014-03-31,76.6771,41787976,77.0328,77.2585,76.5614
2012-12-11,77.3411,147820794,77.11,78.5085,76.7671
2017-10-26,157.41,16916650,157.23,157.8295,156.78
