date,close,day_prev_close,trend_3_day
2018-12-12,169.1,168.63,-1
2018-11-07,209.95,203.77,-1
2018-10-11,214.45,216.36,-1
2018-09-19,218.37,218.24,-1
2018-03-27,168.34,172.77,-1
2018-02-22,172.5,171.07,-1
2018-01-30,166.97,167.96,-1
2017-09-29,154.12,153.28,1
2017-06-15,144.29,145.16,-1
2017-06-07,155.37,154.45,1
2017-05-02,147.51,146.58,1
2017-05-01,146.58,143.65,-1
2017-04-10,143.17,143.34,-1
2017-01-23,120.08,120,-1
2016-12-22,116.29,117.06,1
2016-12-12,113.3,113.95,1
2016-11-14,105.71,108.43,-1
2016-07-11,96.98,96.68,1
2016-06-24,93.4,96.1,1
2016-05-26,100.41,99.62,1
2016-03-16,105.97,104.58,1
2016-01-15,97.13,99.52,1
2015-12-14,112.48,113.18,-1
2015-11-18,117.29,113.69,-1
2015-08-27,112.92,109.69,1
2015-06-24,128.11,127.03,-1
2015-05-29,130.28,131.78,-1
2015-05-05,125.8,128.7,-1
2015-04-17,124.75,126.17,-1
2014-10-03,99.62,99.9,1
2014-08-26,100.889,101.54,1
2014-04-14,74.5257,74.23,-1
2014-01-16,79.1785,79.6228,1
2013-10-31,74.6717,74.9851,1
2013-07-02,59.7843,58.46,1
2013-02-27,63.51,64.1386,1
2013-01-07,74.8428,75.2857,-1
2012-12-28,72.7984,73.58,1
2012-12-18,76.2714,74.1185,-1
2012-09-21,100.0135,99.8143,1
2012-05-21,80.1828,75.7685,-1
2011-11-08,58.0328,57.1043,-1
2011-11-07,57.1043,57.1771,1
2011-04-29,50.0186,49.5357,-1
2011-02-23,48.9457,48.3728,-1
2010-06-28,38.3286,38.1,-1
2010-03-17,32.0171,32.0643,1
2009-12-10,28.0614,28.2571,1
2009-12-08,27.1243,26.9928,-1
2009-06-16,19.4786,19.4414,-1
2019-05-22,182.78,186.6,-1
2019-04-12,198.87,198.95,-1
2019-01-28,156.3,157.76,1
2018-07-19,191.88,190.4,-1
2018-06-26,184.43,182.17,-1
2018-04-20,165.72,172.8,-1
2017-11-20,169.98,170.15,-1
2017-10-27,163.05,157.41,1
2017-08-25,159.86,159.27,1
2017-07-12,145.74,145.53,1
2016-03-11,102.26,101.17,1
2016-02-05,94.02,96.6,1
2016-01-04,105.35,105.26,-1
2015-12-11,113.18,116.17,-1
2015-10-06,111.31,110.78,1
2015-07-02,126.44,126.6,1
2015-05-04,128.7,128.95,-1
2015-01-28,115.31,109.14,1
2014-09-22,101.06,100.96,1
2014-09-05,98.97,98.12,-1
2014-05-02,84.6543,84.4971,-1
2014-01-13,76.5328,76.1343,-1
2013-11-27,77.9943,76.2,1
2013-06-13,62.2807,61.7414,-1
2012-11-28,83.2771,83.54,1
2012-09-25,96.22,98.6843,-1
2012-08-17,92.5871,90.9057,1
2012-06-13,81.7371,82.3085,1
2012-06-06,81.6371,80.4043,-1
2012-06-04,80.6128,80.1414,-1
2012-04-27,86.1428,86.8143,-1
2012-03-07,75.8128,75.7514,-1
2012-02-28,76.4871,75.1085,1
2012-01-17,60.6714,59.9728,-1
2011-11-18,53.5628,53.9157,-1
2011-02-08,50.7428,50.2686,1
2011-01-21,46.6743,47.5257,-1
2011-01-04,47.3271,47.0814,-1
2010-12-07,45.4586,45.7357,1
2010-09-27,41.5948,41.76,1
2010-05-27,36.1928,34.8727,-1
2009-10-21,29.2743,28.3943,1
2019-04-17,203.13,199.25,1
2019-01-16,154.94,153.07,-1
2019-01-08,150.75,147.93,-1
2018-12-18,166.07,163.94,-1
2018-08-10,207.53,208.88,1
2018-07-02,187.18,185.11,-1
2018-06-06,193.98,193.31,1
2018-05-15,186.44,188.15,-1
2017-10-20,156.25,155.98,-1
2017-06-06,154.45,153.93,1
2017-05-08,153.01,148.96,-1
2017-04-07,143.34,143.66,-1
2017-03-13,139.2,139.14,-1
2016-09-29,112.18,113.95,1
2016-07-18,99.83,98.78,-1
2016-06-08,98.94,99.03,1
2016-05-27,100.35,100.41,1
2016-04-21,105.97,107.13,-1
2016-04-07,108.54,110.96,1
2016-03-08,101.03,101.87,1
2016-03-04,103.01,101.5,1
2016-02-01,96.43,97.34,1
2016-01-14,99.52,97.39,1
2015-10-29,120.53,119.27,-1
2015-08-07,115.52,115.13,-1
2015-04-16,126.17,126.78,-1
2015-03-24,126.69,127.21,-1
2015-03-12,124.45,122.24,-1
2015-02-13,127.08,126.46,1
2015-01-27,109.14,113.1,1
2015-01-06,106.26,106.25,-1
2014-09-24,101.75,102.64,1
2014-07-21,93.939,94.43,-1
2014-05-07,84.6185,84.9157,1
2014-02-21,75.0357,75.8785,-1
2014-02-05,73.2271,72.6843,1
2013-07-19,60.7071,61.6797,1
2013-07-12,60.93,61.0411,1
2013-05-10,64.71,65.2528,-1
2013-03-18,65.1028,63.38,1
2012-12-19,75.1871,76.2714,1
2012-12-07,76.1785,78.1778,-1
2012-10-26,86.2857,87.0768,-1
2012-10-03,95.9214,94.4728,-1
2012-09-10,94.6771,97.2057,1
2012-07-18,86.6085,86.7057,1
2012-07-09,87.6985,86.5543,1
2012-06-20,83.6773,83.9157,1
2012-03-26,86.7114,85.15,-1
2012-03-05,76.1657,77.8828,1
2012-01-12,60.1986,60.3643,-1
2011-12-15,54.1343,54.3128,-1
2011-12-01,55.4186,54.6,1
2011-11-23,52.4271,53.7871,-1
2011-10-25,56.8243,57.9671,-1
2011-08-11,53.3857,51.9557,-1
2011-03-11,50.2843,49.5243,-1
2011-02-01,49.29,48.4743,-1
2010-12-06,45.7357,45.3486,1
2010-04-09,34.5414,34.2786,1
2009-10-27,28.1957,28.9257,-1
2009-07-08,19.6029,19.3429,-1
2009-06-11,19.9929,20.0357,-1
2019-05-31,175.07,178.3,-1
2019-04-05,197,195.69,1
2019-03-26,186.79,188.74,-1
2018-11-23,172.29,176.78,-1
2018-06-27,184.16,184.43,-1
2017-11-10,174.67,175.88,1
2017-11-07,174.81,174.25,1
2017-09-08,158.63,161.26,-1
